ORD  WAVEMIN WAVCENTR  WAVEMAX   FSR    FSR     LD    CDMIN  CDCEN  CDMAX ORSEP
  N     (A)      (A)      (A)     (A)    (mm)  (A/mm)   (mm)   (mm)   (mm)  (mm)
  64  3504.94  3532.54  3560.14   55.2    36.6  1.507  28.86  30.03  31.17  2.31
  63  3560.20  3588.68  3617.16   57.0    37.2  1.531  31.17  32.32  33.44  2.26 
  62  3617.21  3646.62  3676.02   58.8    37.8  1.556  33.44  34.56  35.66  2.22
  61  3676.06  3706.44  3736.82   60.8    38.4  1.582  35.66  36.76  37.83  2.17  
  60  3736.85  3768.25  3799.65   62.8    39.1  1.608  37.83  38.91  39.96  2.13
  59  3799.67  3832.15  3864.62   65.0    39.7  1.635  39.96  41.02  42.04  2.08 
  58  3864.63  3898.23  3931.84   67.2    40.4  1.663  42.04  43.08  44.09  2.04
  57  3931.84  3966.63  4001.43   69.6    41.1  1.693  44.09  45.10  46.08  2.00
  56  4001.42  4037.47  4073.52   72.1    41.8  1.723  46.08  47.08  48.04  1.96
  55  4073.50  4110.87  4148.24   74.7    42.6  1.754  48.04  49.01  49.96  1.92
  54  4148.21  4186.98  4225.75   77.5    43.4  1.787  49.96  50.91  51.84  1.88
  53  4225.72  4265.96  4306.21   80.5    44.2  1.820  51.84  52.77  53.67  1.84 
  52  4306.16  4347.97  4389.78   83.6    45.1  1.855  53.67  54.59  55.47  1.80
  51  4389.72  4433.19  4476.65   86.9    46.0  1.892  55.47  56.37  57.24  1.76
  50  4476.59  4521.81  4567.03   90.4    46.9  1.929  57.23  58.11  58.96  1.73
  49  4566.96  4614.04  4661.12   94.2    47.8  1.969  58.96  59.82  60.65  1.69
  48  4661.04  4710.11  4759.17   98.1    48.8  2.010  60.65  61.49  62.30  1.66
  47  4759.09  4810.26  4861.43  102.3    49.9  2.053  62.30  63.13  63.92  1.62
  46  4861.34  4914.76  4968.18  106.8    50.9  2.097  63.92  64.73  65.51  1.59
  45  4968.08  5023.90  5079.72  111.6    52.1  2.144  65.51  66.30  67.07  1.56
  44  5079.61  5138.00  5196.38  116.8    53.3  2.192  67.06  67.84  68.59  1.52
  43  5196.26  5257.40  5318.53  122.3    54.5  2.243  68.59  69.35  70.08  1.49
  42  5318.40  5382.48  5446.56  128.2    55.8  2.297  70.08  70.82  71.54  1.46
  41  5446.42  5513.66  5580.90  134.5    57.2  2.353  71.54  72.27  72.98  1.44
  40  5580.75  5651.39  5722.03  141.3    58.6  2.411  72.98  73.69  74.38  1.41
  39  5721.88  5796.19  5870.50  148.6    60.1  2.473  74.38  75.09  75.77  1.38
  38  5870.33  5948.60  6026.87  156.5    61.7  2.538  75.76  76.46  77.12  1.36
  37  6026.68  6109.24  6191.80  165.1    63.3  2.607  77.12  77.80  78.46  1.34
  36  6191.60  6278.81  6366.02  174.4    65.1  2.679  78.46  79.12  79.77  1.31
  35  6365.81  6458.06  6550.32  184.5    67.0  2.756  79.77  80.43  81.06  1.30
  34  6550.10  6647.86  6745.62  195.5    68.9  2.837  81.06  81.71  82.34  1.28
  33  6745.38  6849.15  6952.93  207.6    71.0  2.923  82.34  82.98  83.60  1.26
  32  6952.66  7063.02  7173.38  220.7    73.2  3.014  83.60  84.24  84.86  1.25
  31  7173.10  7290.69  7408.28  235.2    75.6  3.111  84.85  85.49  86.10  1.24
  30  7407.97  7533.52  7659.08  251.1    78.1  3.215  86.10  86.73  87.34  1.24
  29  7658.74  7793.10  7927.47  268.7    80.8  3.325  87.34  87.97  88.58  1.24
  28  7927.09  8071.22  8215.35  288.3    83.7  3.444  88.58  89.21  89.82  1.25
  27  8214.93  8369.93  8524.92  310.0    86.8  3.571  89.82  90.46  91.08  1.26
  26  8524.45  8691.60  8858.75  334.3    90.1  3.709  91.07  91.72  92.35  1.28
  25  8858.22  9039.00  9219.78  361.6    93.7  3.857  92.35  93.01  93.65  1.30
  24  9219.18  9415.33  9611.48  392.3    97.6  4.018  93.65  94.33  94.99  1.34
  23  9610.80  9824.37 10037.94  427.1   101.9  4.192  94.99  95.69  96.38  1.39
  22 10037.15 10270.57 10503.99  466.8   106.5  4.382  96.37  97.11  97.83  1.46
  21 10503.06 10759.23 11015.40  512.3   111.6  4.591  97.83  98.61  99.38  1.55
